match_url,teamName,tableType,player,kd,plus_minus,adr,kast,rating
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Imperial,table totalstats,Santino 'try' Rigaltry,42-40,+2,82.6,76.3%,1.06
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Imperial,table totalstats,Kaiky 'noway' Santosnoway,36-39,-3,68.9,74.6%,0.98
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Imperial,table totalstats,Lucas 'decenty' Bacelardecenty,38-41,-3,63.3,61.0%,0.83
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Imperial,table totalstats,Richard 'chayJESUS' SeidychayJESUS,35-46,-11,56.2,55.9%,0.77
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Imperial,table totalstats,Vinicius 'VINI' FigueiredoVINI,28-47,-19,66.2,64.4%,0.77
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Imperial,table ctstats hidden,Santino 'try' Rigaltry,17-17,0,84.8,82.6%,0.94
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Imperial,table ctstats hidden,Richard 'chayJESUS' SeidychayJESUS,17-18,-1,73.9,65.2%,0.87
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Imperial,table ctstats hidden,Kaiky 'noway' Santosnoway,14-14,0,54.3,87.0%,0.86
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Imperial,table ctstats hidden,Vinicius 'VINI' FigueiredoVINI,12-19,-7,79.2,69.6%,0.84
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Imperial,table ctstats hidden,Lucas 'decenty' Bacelardecenty,15-16,-1,66.2,65.2%,0.82
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Imperial,table tstats hidden,Santino 'try' Rigaltry,25-23,+2,81.2,72.2%,1.14
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Imperial,table tstats hidden,Kaiky 'noway' Santosnoway,22-25,-3,78.2,66.7%,1.06
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Imperial,table tstats hidden,Lucas 'decenty' Bacelardecenty,23-25,-2,61.4,58.3%,0.84
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Imperial,table tstats hidden,Vinicius 'VINI' FigueiredoVINI,16-28,-12,57.9,61.1%,0.73
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Imperial,table tstats hidden,Richard 'chayJESUS' SeidychayJESUS,18-28,-10,44.8,50.0%,0.71
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Liquid,table totalstats,Russel 'Twistzz' Van DulkenTwistzz,49-36,+13,94.5,79.7%,1.34
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Liquid,table totalstats,Guy 'NertZ' IluzNertZ,46-43,+3,88.6,69.5%,1.24
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Liquid,table totalstats,Keith 'NAF' MarkovicNAF,42-36,+6,82.9,76.3%,1.17
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Liquid,table totalstats,Roland 'ultimate' Tomkowiakultimate,41-33,+8,69.7,79.7%,1.15
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Liquid,table totalstats,Justin 'jks' Savagejks,33-32,+1,52.8,74.6%,0.96
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Liquid,table ctstats hidden,Russel 'Twistzz' Van DulkenTwistzz,33-19,+14,95.6,80.6%,1.40
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Liquid,table ctstats hidden,Guy 'NertZ' IluzNertZ,33-26,+7,108.5,72.2%,1.38
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Liquid,table ctstats hidden,Keith 'NAF' MarkovicNAF,23-20,+3,71.6,75.0%,1.08
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Liquid,table ctstats hidden,Roland 'ultimate' Tomkowiakultimate,23-19,+4,65.4,75.0%,1.03
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Liquid,table ctstats hidden,Justin 'jks' Savagejks,16-20,-4,49.9,69.4%,0.77
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Liquid,table tstats hidden,Roland 'ultimate' Tomkowiakultimate,18-14,+4,76.4,87.0%,1.34
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Liquid,table tstats hidden,Keith 'NAF' MarkovicNAF,19-16,+3,100.5,78.3%,1.30
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Liquid,table tstats hidden,Justin 'jks' Savagejks,17-12,+5,57.3,82.6%,1.25
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Liquid,table tstats hidden,Russel 'Twistzz' Van DulkenTwistzz,16-17,-1,92.9,78.3%,1.24
https://www.hltv.org/matches/2380116/imperial-vs-liquid-blast-open-lisbon-2025,Liquid,table tstats hidden,Guy 'NertZ' IluzNertZ,13-17,-4,57.5,65.2%,1.02
